Date,FXI,MCHI,KWEB,GLD,SPY,TLT
2015-06-04,37.74931716918945,49.03886032104492,33.26517868041992,112.83999633789062,175.2714080810547,89.5193099975586
2015-06-05,37.45858383178711,48.70570755004883,34.0594596862793,112.23999786376953,174.9711151123047,88.42898559570312
2015-06-08,37.8028678894043,48.811336517333984,33.80781555175781,112.56999969482422,173.8951416015625,88.33124542236328
2015-06-09,37.28260803222656,48.11252212524414,33.48537826538086,112.81999969482422,173.87005615234375,87.63194274902344
2015-06-10,36.93067932128906,47.7550048828125,34.083045959472656,113.77999877929688,175.95535278320312,86.8649673461914
2015-06-11,37.25200653076172,48.055660247802734,34.4290657043457,113.26000213623047,176.52259826660156,88.69216918945312
2015-06-12,37.56569290161133,48.45381546020508,35.066062927246094,113.2300033569336,175.1713104248047,88.69216918945312
2015-06-15,36.425724029541016,47.161827087402344,34.07518005371094,113.7300033569336,174.42059326171875,88.83504486083984
2015-06-16,35.95136642456055,46.528011322021484,33.996551513671875,113.31999969482422,175.37155151367188,89.53435516357422
2015-06-17,36.058475494384766,46.747398376464844,34.68071746826172,113.8499984741211,175.65512084960938,88.8425521850586
2015-06-18,36.12733459472656,46.97493362426758,34.56275939941406,115.31999969482422,177.48175048828125,88.40647888183594
2015-06-19,35.7983512878418,46.528011322021484,33.737030029296875,115.12000274658203,176.6939239501953,89.54185485839844
2015-06-22,36.26505661010742,47.08869171142578,33.556156158447266,113.63999938964844,177.59912109375,87.71465301513672
2015-06-23,37.10663986206055,48.21816635131836,34.05158615112305,112.88999938964844,177.72483825683594,87.1882553100586
2015-06-24,37.19047164916992,48.29943084716797,33.9100341796875,112.58999633789062,176.43409729003906,87.94024658203125
2015-06-25,36.57524871826172,47.5450439453125,33.667137145996094,112.44000244140625,175.89764404296875,87.63194274902344
2015-06-26,35.53704833984375,46.31372833251953,32.310672760009766,112.55999755859375,175.86412048339844,86.64689636230469
2015-06-29,34.60652160644531,45.00032424926758,31.222347259521484,113.06999969482422,172.1761932373047,88.94029998779297
2015-06-30,35.452457427978516,46.001800537109375,32.04253387451172,112.37000274658203,172.53662109375,88.32372283935547
2015-07-01,35.167911529541016,45.67345428466797,31.600893020629883,111.9800033569336,173.91958618164062,87.13153076171875
2015-07-02,35.229434967041016,45.69807434082031,31.356420516967773,111.76000213623047,173.76031494140625,87.41788482666016
2015-07-06,33.714439392089844,43.39141845703125,29.124557495117188,112.05999755859375,173.26580810546875,89.03813934326172
2015-07-07,32.26865005493164,41.63475036621094,27.697114944458008,110.76000213623047,174.35543823242188,89.87466430664062
2015-07-08,29.9538631439209,38.86018753051758,27.24759292602539,111.08999633789062,171.43019104003906,90.65087127685547
2015-07-09,31.453481674194336,40.81386947631836,29.187646865844727,111.36000061035156,171.74034118652344,88.86482238769531
2015-07-10,32.883880615234375,42.91530227661133,29.376924514770508,111.48999786376953,173.90280151367188,87.45561981201172
2015-07-13,32.99923324584961,43.136959075927734,29.976285934448242,110.98999786376953,175.82220458984375,87.18429565429688
2015-07-14,32.85311508178711,43.10410690307617,29.9920654296875,110.73999786376953,176.58493041992188,87.47062683105469
2015-07-15,32.09177780151367,42.09443283081055,28.714466094970703,110.16000366210938,176.5262908935547,88.39756774902344
2015-07-16,32.71469497680664,42.9071044921875,29.416353225708008,109.76000213623047,177.94277954101562,89.00801849365234
2015-07-17,32.945411682128906,43.30931854248047,30.14191436767578,108.6500015258789,178.0936279296875,89.46768188476562
2015-07-20,32.737770080566406,43.12052536010742,29.952632904052734,105.69999694824219,178.18582153320312,89.09086608886719
2015-07-21,32.87619400024414,43.358585357666016,30.299633026123047,105.37000274658203,177.48175048828125,89.57322692871094
2015-07-22,32.537818908691406,42.808597564697266,30.331178665161133,104.80000305175781,177.1632537841797,90.13085174560547
2015-07-23,32.53011703491211,42.80038833618164,30.36272621154785,104.33000183105469,176.16590881347656,91.25373840332031
2015-07-24,32.09946823120117,42.32427978515625,29.739700317382812,105.3499984741211,174.33872985839844,91.47982025146484
2015-07-27,30.861330032348633,40.444480895996094,28.304367065429688,104.86000061035156,173.32449340820312,91.96967315673828
2015-07-28,31.36888313293457,41.15864181518555,28.122983932495117,105.0199966430664,175.4534149169922,91.29899597167969
