Date,SPY,TLT
2022-03-14,394.4483947753906,114.71794891357422
2022-03-15,403.12249755859375,114.5177230834961
2022-03-16,412.0614013671875,115.64083099365234
2022-03-17,417.21661376953125,114.77888488769531
2022-03-18,421.7863464355469,116.18067169189453
2022-03-21,421.66302490234375,113.49031829833984
2022-03-22,426.5970764160156,112.03631591796875
2022-03-23,421.1031494140625,114.4915542602539
2022-03-24,427.4510192871094,113.59479522705078
2022-03-25,429.5385437011719,112.01891326904297
2022-03-28,432.5938720703125,112.97664642333984
2022-03-29,437.9454345703125,113.82990264892578
2022-03-30,435.2411804199219,114.71794891357422
2022-03-31,428.542236328125,114.99657440185547
2022-04-01,429.7568054199219,115.43429565429688
2022-04-04,433.4383544921875,114.632080078125
2022-04-05,427.96343994140625,112.0422592163086
2022-04-06,423.6841125488281,111.13542175292969
2022-04-07,425.81903076171875,110.29824829101562
2022-04-08,424.680419921875,109.10364532470703
2022-04-11,417.4216613769531,107.3770980834961
2022-04-12,415.875,107.22885131835938
2022-04-13,420.63824462890625,107.44686889648438
2022-04-14,415.4006042480469,105.29302978515625
2022-04-18,415.57135009765625,104.76982116699219
2022-04-19,422.2797546386719,103.98506927490234
2022-04-20,421.966552734375,106.07781982421875
2022-04-21,415.6567687988281,105.29302978515625
2022-04-22,404.2514953613281,104.63031005859375
2022-04-25,406.59521484375,105.6767349243164
2022-04-26,394.81988525390625,106.74053192138672
2022-04-27,395.929931640625,105.37152099609375
2022-04-28,405.9309387207031,105.52847290039062
2022-04-29,390.929443359375,104.15945434570312
2022-05-02,393.28265380859375,102.35394287109375
2022-05-03,395.08551025390625,103.04401397705078
2022-05-04,407.1170349121094,103.61178588867188
2022-05-05,392.6469421386719,100.77297973632812
2022-05-06,390.3032531738281,99.2880630493164
2022-05-09,377.8067932128906,100.16153717041016
2022-05-10,378.6797790527344,101.0699691772461
2022-05-11,372.66400146484375,103.01780700683594
2022-05-12,372.27496337890625,102.82563018798828
2022-05-13,381.1752624511719,101.30582427978516
2022-05-16,379.62860107421875,101.20098876953125
2022-05-17,387.4377136230469,99.97814178466797
2022-05-18,371.81951904296875,102.10940551757812
2022-05-19,369.542236328125,102.35394287109375
2022-05-20,369.7035827636719,103.51568603515625
2022-05-23,376.6207580566406,101.8124008178711
2022-05-24,373.74560546875,103.82141876220703
2022-05-25,377.0476379394531,104.23191833496094
2022-05-26,384.58160400390625,103.76026916503906
2022-05-27,394.0227355957031,104.01358795166016
2022-05-31,391.8118896484375,101.8124008178711
2022-06-01,388.6427307128906,101.696044921875
2022-06-02,396.0438537597656,101.7485580444336
2022-06-03,389.544189453125,101.52976989746094
2022-06-06,390.7302551269531,99.65721893310547
2022-06-07,394.4782409667969,100.73348999023438
2022-06-08,390.1893615722656,99.8409652709961
2022-06-09,380.9095764160156,100.1734848022461
2022-06-10,369.86480712890625,99.55221557617188
2022-06-13,355.8217468261719,96.4283676147461
2022-06-14,354.74957275390625,95.21204376220703
2022-06-15,359.8069763183594,96.98832702636719
2022-06-16,347.8988342285156,97.75838470458984
2022-06-17,348.64874267578125,98.07341766357422
2022-06-21,357.4255676269531,96.41082763671875
2022-06-22,356.7775573730469,99.06219482421875
2022-06-23,360.2748718261719,99.8759765625
2022-06-24,371.7293701171875,98.49341583251953
2022-06-27,370.30950927734375,97.65338897705078
2022-06-28,362.7430419921875,98.10840606689453
2022-06-29,362.4476013183594,99.63969421386719
2022-06-30,359.50299072265625,100.51473999023438
2022-07-01,363.3052062988281,101.54667663574219
2022-07-05,363.99139404296875,102.34454345703125
2022-07-06,365.2206726074219,100.6260986328125
2022-07-07,370.690673828125,99.74057006835938
2022-07-08,370.38568115234375,98.63583374023438
2022-07-11,366.1545715332031,100.33676147460938
2022-07-12,362.9145202636719,100.93295288085938
2022-07-13,361.00860595703125,102.0903091430664
2022-07-14,360.1319274902344,101.25736999511719
2022-07-15,367.0122985839844,101.82725524902344
2022-07-18,363.9818420410156,100.76638793945312
2022-07-19,373.81634521484375,100.2227783203125
2022-07-20,376.1987609863281,100.48579406738281
2022-07-21,380.0296325683594,102.2218017578125
2022-07-22,376.5036926269531,103.94022369384766
2022-07-25,376.961181640625,102.92321014404297
2022-07-26,372.5012512207031,103.00211334228516
2022-07-27,382.1737976074219,102.42345428466797
2022-07-28,386.9671630859375,103.23886108398438
2022-07-29,392.6086730957031,102.95828247070312
2022-08-01,391.4460144042969,105.43787384033203
2022-08-02,388.863525390625,103.20682525634766
2022-08-03,394.95294189453125,104.83180236816406
2022-08-04,394.6861572265625,104.79666900634766
2022-08-05,394.01910400390625,102.30216217041016
2022-08-08,393.5616149902344,103.95342254638672
2022-08-09,391.998779296875,103.54943084716797
2022-08-10,400.2323913574219,102.8730697631836
2022-08-11,400.2323913574219,100.47517395019531
2022-08-12,407.0078430175781,101.49406433105469
2022-08-15,408.6850280761719,101.4062271118164
2022-08-16,409.4855041503906,101.82783508300781
2022-08-17,406.57904052734375,100.76502227783203
2022-08-18,407.7607727050781,100.91433715820312
2022-08-19,402.2812194824219,99.28939056396484
2022-08-22,393.9046630859375,98.95561981201172
2022-08-23,392.9517517089844,98.4110336303711
2022-08-24,394.2095947265625,97.69080352783203
2022-08-25,399.77490234375,99.05223846435547
2022-08-26,386.242919921875,99.79884338378906
