Date,VOL_FXI,VOL_SPY,VOL_RATIO
2015-11-11,0.25429756775240936,0.12066897942438234,2.107398015343006
2015-11-12,0.2541007456679943,0.12999847978066395,1.9546439781197302
2015-11-13,0.24017469336541497,0.12978621864349174,1.850540803759358
2015-11-16,0.23854825592584056,0.12711707567233024,1.876602766891417
2015-11-17,0.23475103942150963,0.12650096572594588,1.8557252750945694
2015-11-18,0.20074701529937639,0.13197104602986537,1.5211443823363107
2015-11-19,0.2002075322021963,0.13020762591733923,1.5376022010361796
2015-11-20,0.20627423275902326,0.13037875564309553,1.5821153664304581
2015-11-23,0.20862207128442978,0.13057302406816318,1.5977425105473744
2015-11-24,0.20525709882286816,0.12859085331193773,1.5962029455155122
2015-11-25,0.20496418067595987,0.1273084321746044,1.6099811864374391
2015-11-27,0.1940999357029657,0.12051472724130917,1.6105910053160168
2015-11-30,0.199179954526454,0.12104860466775264,1.645454361685142
2015-12-01,0.19874214147538982,0.12359103350396837,1.608062784498104
2015-12-02,0.19960183760748823,0.12778720004448116,1.5619861577529617
2015-12-03,0.19654187091545322,0.1334342368159375,1.4729493389808792
2015-12-04,0.18632839563803022,0.13637645559673345,1.3662797938450986
2015-12-07,0.18115827997495249,0.13419130616325675,1.350000124110543
2015-12-08,0.17616547133175067,0.13547844285294694,1.3003210519843873
2015-12-09,0.17698582435032384,0.13726183162447547,1.2894030500374374
2015-12-10,0.1765452893840212,0.1331406316379629,1.3260060975531844
2015-12-11,0.18998800222228282,0.14399485352607527,1.3194082814069386
2015-12-14,0.19719625548156944,0.14472921182228565,1.362518685748863
2015-12-15,0.2030761658453141,0.14376829204496358,1.4125240201212237
2015-12-16,0.21120658867905073,0.15028028642729582,1.405417794310836
2015-12-17,0.20842810904596432,0.15616606746325937,1.3346568331497524
2015-12-18,0.2103382677916071,0.16374022797274246,1.2845851651472096
2015-12-21,0.21283295118272302,0.16610375643299444,1.2813253339552195
2015-12-22,0.20607269933045136,0.16674632319452998,1.2358455369959933
2015-12-23,0.21441005085994916,0.17072520114051307,1.2558781564034116
2015-12-24,0.21448148952339904,0.17041440671009028,1.258587778252081
2015-12-28,0.21924971134036808,0.16543727584705364,1.3252739457766696
2015-12-29,0.21195352130403514,0.16433674512651658,1.289751243039773
2015-12-30,0.21165388685343653,0.1602899608272431,1.3204438117091584
2015-12-31,0.21152963375247696,0.1630361361683729,1.297440179360134
2016-01-04,0.22827289808373685,0.1607091216984515,1.42041033932137
2016-01-05,0.22813229203982388,0.16089939154285265,1.4178567728086464
2016-01-06,0.22668323689352007,0.16376502499555856,1.384198102736942
2016-01-07,0.2467911940640148,0.17628677268760412,1.3999416422544124
2016-01-08,0.246748193815852,0.17773092668127613,1.388324465658946
2016-01-11,0.24658858214249965,0.17789935355800854,1.3861128621925727
2016-01-12,0.23779932466400028,0.1802805041060614,1.3190518067560972
2016-01-13,0.2343098403895202,0.19177153570781483,1.2218176150318638
2016-01-14,0.23953162018536228,0.19667360454078303,1.2179144260087633
2016-01-15,0.2678395899759421,0.20295093112698565,1.319725849438729
2016-01-19,0.2828892848271478,0.20071590550095084,1.4094014329412858
2016-01-20,0.29231545156120875,0.1912918332331335,1.5281125525361792
