Date,FXI_MCHI,FXI_KWEB,MCHI_KWEB,SYNC_INDEX
2015-12-31,0.9905796564169451,0.7658800425395544,0.7893143555622648,0.8485913515062548
2016-01-04,0.9915504433032515,0.7755029664845398,0.7941454586663529,0.8537329561513815
2016-01-05,0.9913412533631025,0.7746219709516946,0.7967717592648931,0.8542449945265634
2016-01-06,0.9905883419106628,0.753941533173617,0.7781063472686249,0.8408787407843015
2016-01-07,0.9905884379977972,0.7687100849312495,0.7942414130546132,0.8511799786612199
2016-01-08,0.9901265084279486,0.7687136337783206,0.7928549049883922,0.8505650157315537
2016-01-11,0.9894234146428333,0.7486033987835036,0.7732185437948331,0.83708178574039
2016-01-12,0.9890748992608812,0.7441407127357532,0.7706139276310134,0.8346098465425493
2016-01-13,0.9888897468762711,0.7479464300590984,0.7757966505979558,0.8375442758444418
2016-01-14,0.9899178739832503,0.7397554058180608,0.7700034335334419,0.8332255711115844
2016-01-15,0.989056560866422,0.7746927630057848,0.8017057573069176,0.8551516937263748
2016-01-19,0.9893340274897907,0.7744879917599895,0.8017565555454346,0.8551928582650716
2016-01-20,0.9891616456824109,0.7758851871212112,0.8058612843908801,0.8569693723981674
2016-01-21,0.9890704895655601,0.7767284677860331,0.8065566653130223,0.8574518742215386
2016-01-22,0.9894632473975578,0.7685345471436964,0.7994236360173843,0.8524738101862127
2016-01-25,0.9894435450603928,0.7612292393656569,0.7937255412578946,0.8481327752279815
2016-01-26,0.989060979479648,0.7451905103848092,0.7790967922617068,0.8377827607087213
2016-01-27,0.9891990204419496,0.7455637953727927,0.7796546736129796,0.838139163142574
2016-01-28,0.9885982108131814,0.7357638032432949,0.7736218643167543,0.8326612927910769
2016-01-29,0.9891138373474883,0.7503874188890483,0.7898517733187282,0.8431176765184216
2016-02-01,0.988806679203252,0.746853405409176,0.7878547121752305,0.8411715989292196
2016-02-02,0.9889791125929389,0.75063002176152,0.7909116253384351,0.8435069198976314
2016-02-03,0.9891871920309127,0.7407110430332574,0.7808691758638785,0.8369224703093495
2016-02-04,0.9892219965842687,0.7385400134484165,0.7784376954499893,0.8353999018275582
2016-02-05,0.989750599003113,0.7265858960770891,0.767810572217278,0.8280490224324933
2016-02-08,0.9899599463461349,0.7308816709460391,0.7719084871934313,0.8309167014952017
2016-02-09,0.9890761799835444,0.7234978439184013,0.7660211780734845,0.8261984006584768
2016-02-10,0.9890420000611017,0.7255939419819528,0.7681942030038904,0.8276100483489817
2016-02-11,0.9886803702872092,0.7116279902584368,0.7513436735166542,0.8172173446874335
2016-02-12,0.9888782200114126,0.7151477117790441,0.7550668272841399,0.8196975863581989
2016-02-16,0.9896056160958361,0.7381711772929846,0.7744959992651385,0.8340909308846531
2016-02-17,0.9892488747590931,0.7429868482802555,0.778620972333313,0.8369522317908872
2016-02-18,0.9894057759626201,0.7442846233174356,0.7806582940592804,0.8381162311131121
2016-02-19,0.9886485395941623,0.7430526737763947,0.7818713579719028,0.8378575237808198
2016-02-22,0.989004339160755,0.7479512835220405,0.7858291786039403,0.8409282670955786
2016-02-23,0.9890262297302735,0.7525666413723985,0.7897977782169948,0.8437968831065557
2016-02-24,0.9887949480894512,0.7648183886595056,0.8000836889207834,0.8512323418899134
2016-02-25,0.9885346972651878,0.748812064273887,0.7861757826140844,0.8411741813843864
2016-02-26,0.988539170132154,0.751786457804616,0.7901044229935112,0.8434766836434271
2016-02-29,0.9884154348820444,0.7533782336339531,0.7914585800164389,0.8444174161774788
2016-03-01,0.9890514572420975,0.7558930080823872,0.7924007542277874,0.8457817398507573
2016-03-02,0.988880784290199,0.7497296629640903,0.7887405723529496,0.8424503398690796
2016-03-03,0.9887032394183531,0.7476405786507068,0.7880166318349265,0.8414534833013287
2016-03-04,0.9889823607369731,0.7477932635125809,0.7873057160314629,0.8413604467603389
2016-03-07,0.9888541625284805,0.7796441131410224,0.8180865039868899,0.862194926552131
2016-03-08,0.9890226690848529,0.780038005676476,0.8179934713379895,0.8623513820331062
2016-03-09,0.989046551746778,0.7839465641142951,0.8227725536404724,0.865255223167182
2016-03-10,0.9890615811921629,0.7837172459382744,0.8225545511206948,0.8651111260837107
2016-03-11,0.9895670636091889,0.7964158562979172,0.8340866291363449,0.8733565163478171
2016-03-14,0.9895744205976084,0.7970244762051191,0.8342049286484325,0.8736012751503867
2016-03-15,0.9895566468908763,0.7961714468571379,0.8336230977541058,0.87311706383404
2016-03-16,0.9895773649996493,0.7966297056492303,0.8338051328971875,0.8733374011820224
2016-03-17,0.9891922265245765,0.7975198736817766,0.8352298574883196,0.8739806525648909
2016-03-18,0.9891390466445407,0.8043772633646171,0.841625010497301,0.8783804401688196
2016-03-21,0.9886557045326778,0.8027903006603784,0.8406079640657769,0.8773513230862777
2016-03-22,0.9886554789609537,0.801292687205526,0.8393865840657159,0.8764449167440652
2016-03-23,0.9887034632858129,0.8022111295656106,0.8404790782577102,0.8771312237030445
2016-03-24,0.9886506073945348,0.801355107599256,0.84025957680637,0.8767550972667202
2016-03-28,0.9886630845430273,0.7959558048454044,0.8377659709716302,0.8741282867866874
2016-03-29,0.9885992884991449,0.7954723900517303,0.8377731446447969,0.8739482743985573
2016-03-30,0.9886059871230913,0.7950401151656826,0.8375818679590651,0.8737426567492798
2016-03-31,0.9887663799502473,0.7945482778267853,0.8369918494487049,0.8734355024085793
2016-04-01,0.988709703301757,0.7986867557569877,0.8412059134792027,0.8762007908459823
2016-04-04,0.9886475136378137,0.7941324723687292,0.8372771557354061,0.8733523805806497
2016-04-05,0.9888860893359707,0.7989896334133519,0.8407463732187981,0.8762073653227068
2016-04-06,0.9887776841073129,0.802177526198197,0.8439956584722019,0.8783169562592373
2016-04-07,0.9888823715406454,0.8010464361836551,0.8431664057358589,0.8776984044867198
2016-04-08,0.9884985823701516,0.8013100637286882,0.8440660613554759,0.8779582358181052
2016-04-11,0.9886373058313028,0.8001751605084846,0.8441253662412526,0.8776459441936799
2016-04-12,0.9887059167203933,0.8004506062073412,0.8441552443701269,0.8777705890992872
2016-04-13,0.9890996149788753,0.8060323552512991,0.8486567767233508,0.8812629156511752
2016-04-14,0.9890865670114221,0.8058247465580259,0.8487294952194597,0.8812136029296359
2016-04-15,0.9891958945325762,0.805161275552887,0.8475851202223923,0.8806474301026185
2016-04-18,0.989434747927215,0.8089023011660482,0.8494586976435973,0.8825985822456203
2016-04-19,0.9893864902218749,0.8056567836087525,0.8467111319820676,0.8805848019375649
2016-04-20,0.9893971649658025,0.8035575006451473,0.8453472744993802,0.8794339800367768
2016-04-21,0.989517423421856,0.8072699078999132,0.8479436452371442,0.8815769921863045
2016-04-22,0.9892506877994962,0.8014089749105265,0.8429143935592062,0.8778580187564096
2016-04-25,0.9890500099181398,0.8019781754562925,0.842757934007703,0.8779287064607119
2016-04-26,0.9887276411009732,0.7974826568589641,0.8398427333277763,0.8753510104292378
2016-04-27,0.9884605127244799,0.7932425052410566,0.8370146353614202,0.8729058844423189
2016-04-28,0.9884453730736111,0.7923424094479798,0.8363846282858564,0.8723908036024824
2016-04-29,0.9886230996033895,0.7897814400703995,0.8345451699288353,0.8709832365342081
2016-05-02,0.9884819542423398,0.790341737231406,0.8354825997801097,0.8714354304179519
2016-05-03,0.9887325244007567,0.7931588281634783,0.8373967700087773,0.8730960408576708
2016-05-04,0.9889358235581089,0.7931473271589495,0.8364169018554716,0.87283335085751
2016-05-05,0.9888931361762746,0.7931781864576092,0.8363773671732246,0.8728162299357027
2016-05-06,0.9888925219307405,0.7924011090478693,0.8356874774832337,0.8723270361539478
2016-05-09,0.988957633137888,0.7871265653123575,0.830526595763555,0.8688702647379335
2016-05-10,0.9889101546106348,0.7902072016587705,0.8321530375453051,0.8704234646049035
2016-05-11,0.9886444565273982,0.791977038415806,0.8328619759952359,0.87116115697948
2016-05-12,0.9883566225225769,0.7801248988990812,0.8221563549974706,0.8635459588063763
2016-05-13,0.9888273049677582,0.7829707738079038,0.8225395446016662,0.8647792077924428
2016-05-16,0.988476035462059,0.7910062590831742,0.8298922030406164,0.8697914991952832
2016-05-17,0.988120040404458,0.7768885267867811,0.8159437841273486,0.8603174504395293
2016-05-18,0.9885728314893956,0.7779883552908631,0.819048996320244,0.861870061033501
2016-05-19,0.9883209042375534,0.7803760392438278,0.8242749886004058,0.8643239773605957
2016-05-20,0.9887637667487236,0.7858096206993455,0.8270922055471084,0.8672218643317257
2016-05-23,0.9889173767019359,0.7828399500606341,0.8232961921763089,0.8650178396462929
2016-05-24,0.9889877833650498,0.7839547993491296,0.8245475573260317,0.8658300466800704
2016-05-25,0.9868425470526807,0.7594876589545984,0.8083131334442879,0.851547779817189
2016-05-26,0.9862003053935922,0.7548565206578297,0.8057670365528063,0.8489412875347427
2016-05-27,0.9856422802752474,0.7528082463780483,0.8052655457731407,0.8479053574754788
2016-05-31,0.985276257898986,0.7498755145992267,0.8043546979553167,0.8465021568178431
2016-06-01,0.9839961736340366,0.7536165983793284,0.8106909390811898,0.8494345703648515
2016-06-02,0.983763200809666,0.7624719822034927,0.818015385180313,0.8547501893978239
2016-06-03,0.9836879757152263,0.7647863352869976,0.8210424743038786,0.8565055951020342
2016-06-06,0.9836390351868711,0.7634298604297455,0.8198182380390379,0.8556290445518848
2016-06-07,0.9835069044030922,0.7663996376592889,0.822389530380356,0.8574320241475789
2016-06-08,0.9822375235240682,0.7548262847757856,0.8154416964023632,0.8508351682340723
2016-06-09,0.9823736961858954,0.7587615344805552,0.8178329757505326,0.8529894021389944
2016-06-10,0.9825473490962965,0.7587453652645627,0.817988936551733,0.8530938836375307
2016-06-13,0.9826721829596677,0.768799878018442,0.827754937138092,0.8597423327054007
2016-06-14,0.982583434652646,0.773581472958472,0.8333945827849496,0.8631864967986891
2016-06-15,0.982334775815942,0.7814662518796252,0.8388280749100399,0.867543034201869
2016-06-16,0.9820024540222562,0.776222734903596,0.8338128573523043,0.8640126820927189
2016-06-17,0.9824222944535673,0.7749224399113942,0.8333656974705583,0.8635701439451733
2016-06-20,0.982659106919794,0.7774304001974596,0.8350478480275337,0.8650457850482624
2016-06-21,0.9824757846619899,0.7692028006081112,0.8296868382123369,0.8604551411608127
2016-06-22,0.9820899481184248,0.7620727937862649,0.8243984392939776,0.8561870603995558
2016-06-23,0.9810495869316461,0.7438185005772581,0.8120913154959635,0.8456531343349559
2016-06-24,0.9836923200669958,0.7376437044589128,0.803381750383093,0.8415725916363339
2016-06-27,0.9826495527069692,0.7243881143116797,0.796828745638282,0.8346221375523103
2016-06-28,0.9840706257843543,0.7361204458006213,0.8035087039531691,0.8412332585127148
2016-06-29,0.9836424684696318,0.7310483301051031,0.7997385288517009,0.8381431091421453
2016-06-30,0.9833931334065777,0.7261816310070629,0.7968591200755502,0.8354779614963969
2016-07-01,0.983931884184574,0.7270144736910488,0.7963870235800382,0.8357777938185537
2016-07-05,0.9843196427164266,0.7383050136520216,0.8065085804648493,0.8430444122777659
2016-07-06,0.984332018231805,0.7419549759077243,0.8109464756666573,0.8457444899353955
2016-07-07,0.9842924042598747,0.7337637637805955,0.8047364645347411,0.8409308775250705
2016-07-08,0.9832034211451856,0.7259916535820387,0.8009403489255125,0.8367118078842456
2016-07-11,0.9819598516552532,0.7233084847824218,0.8030086522773554,0.8360923295716768
2016-07-12,0.9818273223594984,0.7234755082019525,0.8033004659539117,0.8362010988384542
2016-07-13,0.981140964825247,0.7162118491146569,0.798662834152906,0.8320052160309367
2016-07-14,0.9812224307601016,0.7166861028983642,0.7990883633663519,0.8323322990082725
2016-07-15,0.980691838371173,0.7181202750587705,0.8022775221411951,0.8336965451903794
2016-07-18,0.9806646070903511,0.7185248413820914,0.8024319114612236,0.8338737866445554
2016-07-19,0.9808287557872267,0.713408248533431,0.7980071399693419,0.8307480480966666
2016-07-20,0.97984927416275,0.6972615963808071,0.7857287417277704,0.8209465374237759
2016-07-21,0.9798352912226572,0.6972432895218559,0.7859579303471497,0.8210121703638876
2016-07-22,0.9798106331136425,0.6973390472183751,0.7858163304914232,0.8209886702744802
2016-07-25,0.9797915288183111,0.694887377868846,0.7840934567855999,0.8195907878242523
2016-07-26,0.980369871345456,0.6967783289809096,0.7854695389747277,0.820872579767031
2016-07-27,0.9806185796760281,0.7004829198433896,0.7871819262223324,0.8227611419139168
2016-07-28,0.981195844870839,0.7002926382512508,0.7867165218217477,0.8227350016479459
2016-07-29,0.9807260715371411,0.7026296320969077,0.7901986601241062,0.8245181212527184
2016-08-01,0.9802430125509052,0.6971618802766764,0.7861521349919397,0.8211856759398404
2016-08-02,0.9801843881535927,0.700635102234502,0.7891507808001498,0.8233234237294148
2016-08-03,0.9800860895375348,0.7060419685067427,0.7947439470554428,0.8269573350332401
2016-08-04,0.9802415314099419,0.7044638157414239,0.792895222177534,0.8258668564429666
2016-08-05,0.9802445905538941,0.7073546348342579,0.7955918335536515,0.8277303529806012
2016-08-08,0.9802448912454088,0.7076673181402082,0.7959458736238857,0.827952694336501
2016-08-09,0.9801917904417896,0.7094701069413123,0.7954602429719777,0.8283740467850266
2016-08-10,0.979584413952905,0.706605305512939,0.7958300748753083,0.8273399314470508
2016-08-11,0.9793250764360841,0.7089633097800631,0.7984748455569811,0.8289210772577094
2016-08-12,0.9783793452689442,0.6973144380387681,0.7913920337339629,0.8223619390138918
2016-08-15,0.9780552391844113,0.7042469287630082,0.7967133004251055,0.8263384894575084
2016-08-16,0.9781219705029462,0.7039730626476212,0.7964399919835342,0.8261783417113673
2016-08-17,0.9773694569365591,0.7028793883314713,0.795703808063138,0.8253175511103894
2016-08-18,0.9771624982492677,0.6996375109803268,0.7937770520749107,0.8235256871015016
2016-08-19,0.9750588562118845,0.6805862436216901,0.7820302168225146,0.8125584388853632
2016-08-22,0.9751756128561477,0.6807962471513425,0.7816265726322345,0.8125328108799081
2016-08-23,0.9748425278005404,0.6790397832454469,0.7799538458435947,0.811278718963194
2016-08-24,0.9749161676553871,0.6782805469072654,0.7787307332978938,0.8106424826201821
