date,China_Stress_Index
2015-08-25,0.5842358520746371
2015-08-26,0.6833654004132936
2015-08-27,0.7093185235640147
2015-08-28,0.6852718776407931
2015-08-31,0.6010333948636841
2015-09-01,0.5882524353700148
2015-09-02,0.5798880908395119
2015-09-03,0.603450390545557
2015-09-04,0.6377046950579066
2015-09-07,0.6526598843632638
2015-09-08,0.5996007608994877
2015-09-09,0.5023481147402707
2015-09-10,0.341841026895035
2015-09-11,0.14256280168085628
2015-09-14,-0.055188195627630145
2015-09-15,-0.23307966317146636
2015-09-16,-0.3336511800495123
2015-09-17,-0.3572795298583716
2015-09-18,-0.35199721037481835
2015-09-21,-0.36873144902164207
2015-09-22,-0.34865440212681614
2015-09-23,-0.3340605196215982
2015-09-24,-0.3243309469002934
2015-09-25,-0.31679785661030835
