Date,EXPOSURE_RATIO
2015-09-29,89.78290994325276
2015-09-30,90.38076606504922
2015-10-01,90.75548319459024
2015-10-02,92.67500254326268
2015-10-05,92.67847295451483
2015-10-06,91.61463770170242
2015-10-07,94.66583553926404
2015-10-08,94.25573053213323
2015-10-09,93.76307295130721
2015-10-12,93.74728950126658
2015-10-13,93.12265241475332
2015-10-14,93.96326200964845
2015-10-15,95.60692615246525
2015-10-16,95.51053000208752
2015-10-19,94.55119609653893
2015-10-20,94.79242292784328
2015-10-21,93.98109677122628
2015-10-22,94.44184843879584
2015-10-23,94.99437407833683
2015-10-26,93.1525938621006
2015-10-27,92.600282090654
2015-10-28,90.5773558797844
2015-10-29,89.74088644732987
2015-10-30,89.87100759632406
2015-11-02,89.56284134690743
2015-11-03,89.39648786695035
2015-11-04,90.80584121459569
2015-11-05,91.33809367277243
2015-11-06,90.54899106925333
2015-11-09,89.57155283279985
2015-11-10,88.75667675520337
2015-11-11,89.13048835769331
2015-11-12,90.32085402860965
2015-11-13,89.51428722088029
2015-11-16,89.50326812318853
2015-11-17,89.16460927700989
2015-11-18,88.38026847854155
2015-11-19,88.57363018430773
2015-11-20,89.74504039338512
2015-11-23,88.86709856448316
2015-11-24,88.77158015814427
2015-11-25,88.57436899401037
2015-11-27,86.04964183899328
2015-11-30,87.62504504237751
2015-12-01,87.21459760368133
2015-12-02,87.36444280695098
2015-12-03,87.96398653898007
2015-12-04,87.02664925119743
2015-12-07,86.24471346721856
2015-12-08,85.50682201672551
2015-12-09,85.2736843597873
2015-12-10,84.24771341593586
2015-12-11,83.51824795383381
2015-12-14,84.325752909781
2015-12-15,84.87866081784883
2015-12-16,85.13333403591076
2015-12-17,85.40195265422658
2015-12-18,87.77609176300338
2015-12-21,87.980293831651
2015-12-22,87.33539446168825
2015-12-23,88.00062953212955
2015-12-24,87.92905023903323
2015-12-28,86.70430867519937
2015-12-29,86.07575954898317
2015-12-30,85.29315983500906
2015-12-31,85.86302258386607
2016-01-04,84.26733683980208
2016-01-05,83.65699234128955
2016-01-06,82.87955236431745
2016-01-07,81.67046546092861
2016-01-08,81.72399340523316
2016-01-11,81.20417279800544
2016-01-12,80.42617363958065
2016-01-13,80.95980403854308
2016-01-14,80.7893108088339
2016-01-15,78.70554666886856
2016-01-19,80.55276336524669
2016-01-20,78.71283283469977
2016-01-21,78.80573477177776
2016-01-22,80.00731724809526
2016-01-25,79.279093166474
2016-01-26,78.7597241235632
2016-01-27,78.51893642562699
2016-01-28,79.26615212057877
2016-01-29,79.88914170541305
2016-02-01,78.20187757972342
2016-02-02,77.60243638417806
2016-02-03,78.38460196156667
2016-02-04,77.53702973351452
2016-02-05,78.46219145222332
2016-02-08,77.95440520775769
2016-02-09,77.22794905679685
2016-02-10,77.83008575259393
2016-02-11,77.14693813235527
2016-02-12,77.26293574581084
2016-02-16,79.16928508409922
2016-02-17,79.10554983167656
2016-02-18,78.68198831150417
2016-02-19,78.69306448286707
2016-02-22,79.75999876746212
2016-02-23,78.76847736231586
2016-02-24,78.17862814079734
2016-02-25,76.98939856985957
2016-02-26,77.3449609503737
2016-02-29,77.59757787311031
2016-03-01,78.54454456070151
2016-03-02,79.8882315566742
2016-03-03,79.65079715083951
2016-03-04,81.64456778475555
2016-03-07,80.63979006626799
2016-03-08,79.65480514671061
2016-03-09,79.56180377155448
2016-03-10,78.87652757894217
2016-03-11,80.38830924624664
2016-03-14,80.58953511559449
2016-03-15,80.23038770982781
2016-03-16,80.67134155220272
2016-03-17,81.10811714602497
2016-03-18,81.32184526249074
