Date,DEFENSIVE_RATIO,DEFENSIVE_CHANGE_6M
2020-01-03,106.45853701078522,5.245759578552992
2020-01-06,107.06323804070566,5.740960822003487
2020-01-07,107.75317848022787,5.471521197515372
2020-01-08,107.01780137386463,3.416967007767809
2020-01-09,105.45386296351779,2.2137946837209057
2020-01-10,105.7557254828323,2.2644493013989972
2020-01-13,103.2091866382735,0.01184171539721035
2020-01-14,104.17550796654484,1.6816751183785499
2020-01-15,105.37105903742574,1.0659870287310156
2020-01-16,104.43243709334556,-1.0697420844034298
2020-01-17,104.13810204735032,0.7526213157052553
2020-01-21,109.39282080517481,5.064688184049601
2020-01-22,108.22175055019481,5.071647565001811
2020-01-23,109.88056882091442,6.547625569381694
2020-01-24,111.98433467748441,8.676402885753063
2020-01-27,117.40611660339324,14.074836902685306
2020-01-28,115.56245123081561,10.7737861131682
2020-01-29,115.48352667209379,9.688195413920567
2020-01-30,116.93885119320721,11.108211835501848
2020-01-31,120.42783206841105,9.545922725761244
2020-02-03,118.48282107319763,7.164530490992206
2020-02-04,113.87678003521178,-3.5954667734560957
2020-02-05,113.63072996593628,-3.6935667883874004
2020-02-06,113.47463292590405,-5.049306460906877
2020-02-07,114.79514522004412,-3.322209985548241
2020-02-10,114.42472482679251,-4.638012949341672
2020-02-11,111.87428331761033,-9.851428338246947
2020-02-12,110.29708687058566,-8.804259341894706
2020-02-13,112.39320208279547,-11.343034125528007
2020-02-14,112.96963348590758,-9.894023836016416
2020-02-18,114.66190540581698,-6.118507997380064
2020-02-19,114.54299325723018,-3.147769363135197
2020-02-20,116.24254838840176,-2.791334967053899
2020-02-21,117.98911783250831,0.35716717034297574
2020-02-24,123.42587583472866,5.191237329740801
2020-02-25,122.39747005772885,-0.3857968605690729
2020-02-26,121.18142815999728,0.11783402743938609
2020-02-27,122.13483788543036,-0.056034774126118236
2020-02-28,116.95416669856303,-5.049343116937379
2020-03-02,116.3981676737512,-3.8644702874708656
2020-03-03,120.82175494301659,0.8372027579962378
2020-03-04,119.743019226288,-1.8797956273722605
2020-03-05,122.86560617486177,3.2947088185351845
2020-03-06,125.41581524592608,10.096839015629342
2020-03-09,130.889594779918,16.778707471317034
2020-03-10,123.24751536287512,9.786298051172125
2020-03-11,127.1449906703947,14.710052464640583
2020-03-12,132.3030123457816,20.883190317253295
2020-03-13,121.4790652296023,10.233866183039893
2020-03-16,133.8646172625598,24.646320900504236
2020-03-17,127.7667984708557,16.46792713515019
2020-03-18,132.74136515846254,20.681406687868915
2020-03-19,130.11691004312686,18.000435820395566
2020-03-20,130.30515010252356,16.932204968551616
2020-03-23,136.14102013407316,21.003523123507236
2020-03-24,133.70247921693624,17.89206351349746
2020-03-25,129.8938622635889,12.04640329600089
2020-03-26,128.06030379229415,12.801385802910175
2020-03-27,135.16298982672336,19.15703984286249
2020-03-30,131.03893964745947,14.284558323298782
2020-03-31,126.39264417229283,12.461678859530863
2020-04-01,133.00883230903216,17.962961431002498
2020-04-02,130.19973773716836,13.928212758830597
2020-04-03,132.61600806649696,17.672118466735668
2020-04-06,131.58256080509767,16.438732352003754
2020-04-07,131.290306825422,16.328347830350324
2020-04-08,130.01836325968068,13.262446989805724
2020-04-09,134.2956633356175,19.058695405125263
2020-04-13,136.48940186776295,23.66000646317508
2020-04-14,135.41947736717972,24.789698754895724
2020-04-15,137.91678974660758,26.358752339103418
