Date,STRESS_INDEX,Z_VOL_RATIO,Z_VOL_FXI_30D
2024-02-01,0.8584982695656356,1.1384684395075795,0.5785280996236918
2024-02-02,0.8316396632899237,1.0753157640172042,0.5879635625626433
2024-02-05,0.948999321231937,1.326537642317892,0.571461000145982
2024-02-06,1.281757164999223,1.744797056570435,0.8187172734280108
2024-02-07,1.2075138075643728,1.6287026735692942,0.7863249415594512
2024-02-08,1.2668491807685074,1.6995143538925233,0.8341840076444914
2024-02-09,1.2743930127577816,1.6962170456577292,0.852568979857834
2024-02-12,1.2065515730534435,1.6176662549449428,0.7954368911619443
2024-02-13,1.1051770571015405,1.3724478013925827,0.8379063128104981
2024-02-14,1.0426794679551181,1.3011560029513818,0.7842029329588546
2024-02-15,1.0491146228785533,1.3547073349314551,0.7435219108256513
2024-02-16,1.0407643715065733,1.332397593777653,0.7491311492354935
2024-02-20,1.0059875269415195,1.2615739923443243,0.7504010615387149
2024-02-21,1.1938918196483177,1.561554245651807,0.8262293936448285
2024-02-22,0.9479843016345837,1.1032188885377718,0.7927497147313954
2024-02-23,0.9550172145555811,1.1152714850129344,0.7947629440982278
2024-02-26,0.9350727472621092,1.0810654502269126,0.7890800442973057
2024-02-27,0.9583848251237651,1.1066992422210047,0.8100704080265255
2024-02-28,1.005511141509116,1.1674666362671,0.843555646751132
2024-02-29,0.9394273057849402,1.1270551478559807,0.7517994637138996
2024-03-01,0.9757773984378322,1.1627143431527314,0.7888404537229329
2024-03-04,1.107810013672708,1.3549081273923445,0.8607118999530717
2024-03-05,0.9744198514957153,1.1379004802669783,0.8109392227244523
2024-03-06,0.7803758405265269,0.9264177284974511,0.6343339525556025
2024-03-07,0.6592579109247316,0.7690707167949847,0.5494451050544786
2024-03-08,0.6404855179417985,0.7290626024696256,0.5519084334139716
2024-03-11,0.6981864584911129,0.7905147089591915,0.6058582080230344
2024-03-12,0.6889432357379943,0.7625291142780893,0.6153573571978993
2024-03-13,0.6362000883469874,0.7056420127020733,0.5667581639919014
2024-03-14,0.8516734318458358,1.0816017215710299,0.6217451421206417
2024-03-15,0.8938570194580547,1.154707808158585,0.6330062307575244
2024-03-18,0.8525336720921604,1.1436131091688306,0.5614542350154902
2024-03-19,0.8221990074890911,1.115656612380244,0.5287414025979382
2024-03-20,0.34839446945523195,0.5647664640751918,0.13202247483527207
2024-03-21,0.2823466276061987,0.5106751724829184,0.05401808272947905
2024-03-22,0.21438054449153304,0.4304757531362164,-0.0017146641531502892
2024-03-25,0.19928162646303915,0.4139882011217113,-0.015424948195632986
2024-03-26,0.1632863721785912,0.37120348761913097,-0.04463074326194855
2024-03-27,0.15447312982122424,0.45105585123069963,-0.14210959158825112
2024-03-28,0.12836479040497564,0.4451864134000262,-0.1884568325900749
2024-04-01,0.16363302680529052,0.4945923701690342,-0.16732631655845312
2024-04-02,0.13382476652070108,0.4502985451409105,-0.18264901209950837
2024-04-03,0.16251892452812064,0.508832687108769,-0.18379483805252778
2024-04-04,-0.0797151734846481,0.1451420224631681,-0.3045723694324643
2024-04-05,0.05569595161758284,0.44640247141921413,-0.33501056818404845
2024-04-08,0.0554565274692308,0.44608977259429555,-0.33517671765583396
2024-04-09,0.06706493674793912,0.4716414377905395,-0.3375115642946613
2024-04-10,-0.05984378414735908,0.2611701404264981,-0.38085770872121627
2024-04-11,-0.37039216965684535,-0.1169478679786236,-0.6238364713350671
2024-04-12,-0.17586600326273275,0.022625764214821657,-0.37435777074028714
2024-04-15,-0.2933556478389868,-0.13272803808666148,-0.4539832575913122
2024-04-16,-0.3772428606597007,-0.2257931991352407,-0.5286925221841606
2024-04-17,-0.4103442791706241,-0.24083972303609547,-0.5798488353051527
